Feat_1,Feat_2,Cluster
19,15,1
21,15,1
20,16,1
23,16,1
31,17,1
22,17,1
35,18,1
23,18,1
64,19,0
30,19,1
67,19,0
35,19,1
58,20,0
24,20,1
37,20,1
22,20,1
35,21,1
20,21,1
52,23,1
35,23,1
35,24,1
25,24,1
46,25,1
31,25,1
54,28,0
29,28,1
45,28,1
35,28,1
40,29,1
23,29,1
60,30,0
21,30,1
53,33,0
18,33,1
49,33,0
21,33,1
42,34,1
30,34,1
36,37,1
20,37,1
65,38,0
24,38,1
48,39,0
31,39,1
49,39,0
24,39,1
50,40,0
27,40,1
29,40,1
31,40,1
49,42,0
33,42,1
31,43,1
59,43,0
50,43,0
47,43,0
51,44,0
69,44,0
27,46,1
53,46,0
70,46,0
19,46,1
67,47,0
54,47,0
63,48,0
18,48,1
43,48,0
68,48,0
19,48,1
32,48,1
70,49,0
47,49,0
60,50,0
60,50,0
59,54,0
26,54,1
45,54,0
40,54,0
23,54,1
49,54,0
57,54,0
38,54,0
67,54,0
46,54,0
21,54,1
48,54,0
55,57,0
22,57,1
34,58,0
50,58,0
68,59,0
18,59,1
48,60,0
40,60,0
32,60,2
24,60,2
47,60,0
27,60,2
48,61,0
20,61,2
23,62,2
49,62,0
67,62,0
26,62,2
49,62,0
21,62,2
66,63,0
54,63,0
68,63,0
66,63,0
65,63,0
19,63,2
38,64,2
19,64,2
18,65,2
19,65,2
63,65,0
49,65,0
51,67,0
50,67,0
27,67,2
38,67,2
40,69,2
39,69,2
23,70,2
31,70,2
43,71,2
40,71,2
59,71,0
38,71,2
47,71,2
39,71,2
25,72,2
31,72,2
20,73,2
29,73,2
44,73,2
32,73,2
19,74,2
35,74,2
57,75,2
32,75,2
28,76,2
32,76,2
25,77,2
28,77,2
48,77,2
32,77,2
34,78,2
34,78,2
43,78,2
39,78,2
44,78,2
38,78,2
47,78,2
27,78,2
37,78,2
30,78,2
34,78,2
30,78,2
56,79,2
29,79,2
19,81,2
31,81,2
50,85,2
36,85,2
42,86,2
33,86,2
36,87,2
32,87,2
40,87,2
28,87,2
36,87,2
36,87,2
52,88,2
30,88,2
58,88,2
27,88,2
59,93,2
35,93,2
37,97,2
32,97,2
46,98,2
29,98,2
41,99,2
30,99,2
54,101,2
28,101,2
41,103,2
36,103,2
34,103,2
32,103,2
33,113,2
38,113,2
47,120,2
35,120,2
45,126,2
32,126,2
32,137,2
30,137,2
