id, label,true
0,1,1
1,0,0
2,1,1
3,0,0
4,1,1
5,0,0
6,0,1
7,0,0
8,1,1
9,0,1
10,0,0
11,1,1
12,0,0
13,1,1
14,1,1
15,0,1
16,1,1
17,0,1
18,0,0
19,0,1
20,0,0
21,0,0
22,1,1
23,0,1
24,1,1
25,0,1
26,1,1
27,0,0
28,0,0
29,0,0
30,0,0
31,1,1
32,0,0
33,0,0
34,0,0
35,0,0
36,1,0
37,0,1
38,0,1
39,1,1
40,1,0
41,0,0
42,0,0
43,1,1
44,1,0
45,1,1
46,1,0
47,0,0
48,0,1
49,0,0
50,0,0
51,0,0
52,0,0
53,1,1
54,1,0
55,0,0
56,1,1
57,0,0
58,0,0
59,0,0
60,0,0
61,0,1
62,0,0
63,0,0
64,0,1
65,0,0
66,1,1
67,0,0
68,0,0
69,1,0
70,1,1
71,0,0
72,1,1
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,1,1
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,1,1
85,0,0
86,0,0
87,0,0
88,1,1
89,0,0
90,0,0
91,0,0
92,0,0
93,0,1
94,0,0
95,1,0
96,0,0
97,0,0
98,0,0
99,1,1
100,1,1
101,1,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,1
110,1,1
111,1,1
112,0,0
113,0,0
114,1,1
115,1,1
116,0,1
117,0,0
118,0,0
119,0,0
120,1,1
121,0,0
122,0,0
123,0,0
124,0,1
125,1,1
126,0,0
127,0,0
128,0,1
129,1,1
130,1,1
131,1,1
132,1,1
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,1
144,1,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,1,1
153,1,0
154,1,1
155,1,1
156,0,0
157,0,0
158,0,0
159,1,1
160,1,0
161,0,0
162,0,0
163,0,0
164,1,1
165,0,1
166,1,0
167,0,0
168,0,0
169,0,0
170,0,1
171,1,1
172,0,0
173,0,0
174,0,0
175,1,1
176,0,0
177,1,1
178,0,0
179,1,1
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,1,1
186,1,1
187,1,1
188,0,1
189,1,1
190,0,0
191,0,0
192,1,1
193,1,1
194,0,0
195,1,1
196,0,0
197,0,1
198,1,1
199,1,1
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,1,1
207,1,1
208,0,0
209,1,1
210,0,0
211,0,0
212,1,0
213,1,1
214,0,1
215,1,1
216,0,1
217,0,0
218,1,1
219,0,1
220,1,1
221,1,1
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,1,1
228,0,0
229,0,0
230,1,1
231,1,1
232,0,0
233,0,0
234,0,0
235,1,1
236,1,1
237,1,1
238,1,1
239,0,0
240,0,0
241,0,0
242,0,1
243,1,1
244,1,0
245,1,1
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,1,1
255,0,1
256,0,0
257,0,0
258,1,0
259,1,1
260,1,0
261,0,1
262,0,0
263,0,0
264,0,1
265,0,0
266,1,1
267,0,0
268,0,0
269,1,1
270,1,1
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,1
277,0,0
278,0,0
279,0,0
280,1,1
281,0,0
282,0,0
283,1,1
284,0,1
285,0,0
286,0,0
287,1,1
288,0,0
289,0,0
290,0,0
291,0,1
292,1,1
293,1,1
294,1,0
295,1,0
296,1,1
297,0,0
298,1,1
299,0,0
300,1,1
301,1,1
302,0,0
303,1,1
304,0,0
305,0,0
306,1,1
307,0,0
308,1,1
309,1,1
310,0,0
311,0,0
312,1,1
313,0,0
314,1,1
315,0,0
316,0,0
317,1,1
318,0,0
319,1,1
320,0,0
321,0,1
322,0,1
323,1,1
324,0,0
325,1,0
326,0,1
327,1,0
328,1,1
329,0,0
330,0,0
331,0,0
332,1,1
333,0,0
334,0,0
335,1,0
336,0,0
337,0,1
338,1,1
339,1,1
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,1,1
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,1,1
356,1,1
357,1,1
358,0,0
359,1,1
360,1,1
361,1,0
362,0,0
363,1,1
364,1,0
365,0,0
366,0,1
367,0,0
368,0,0
369,1,1
370,1,1
371,0,0
372,0,0
373,0,0
374,0,0
375,1,1
376,0,0
377,0,0
378,1,1
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,1
387,1,1
388,1,1
389,0,0
390,0,0
391,1,1
392,0,0
393,0,0
394,1,1
395,0,0
396,0,0
397,1,1
398,0,0
399,1,1
400,0,1
401,0,0
402,1,1
403,0,0
404,1,1
405,0,0
406,0,1
407,0,0
408,1,1
409,1,1
410,0,0
411,0,0
412,0,0
413,0,0
414,1,1
415,1,1
416,0,0
417,1,1
418,0,0
419,0,1
420,0,0
421,0,0
422,0,0
423,0,0
424,1,1
425,1,1
426,0,0
427,1,1
428,0,0
429,0,1
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,1,1
436,0,0
437,0,0
438,0,0
439,0,0
440,1,1
441,0,0
442,0,0
443,1,1
444,0,1
445,1,1
